student_id,hours_studied,lms_activity_hours,attendance_percent,previous_scores,exam_score,risk_category
S00038,2.0,31.3,97.8,85,58,Требует внимания
S00039,10.0,16.8,57.7,63,44,В зоне риска
S00040,5.7,11.0,61.9,59,40,В зоне риска
S00041,6.3,25.0,50.3,84,54,Требует внимания
S00042,9.2,23.0,56.1,95,31,В зоне риска
S00043,6.9,8.2,58.9,66,56,Требует внимания
S00044,4.0,28.8,50.3,84,63,Требует внимания
S00045,1.0,3.4,50.3,65,12,В зоне риска
S00046,4.4,12.6,70.9,62,59,Требует внимания
S00047,4.4,16.0,53.8,55,21,В зоне риска
S00048,6.7,22.6,65.6,71,68,Требует внимания
S00049,1.7,26.9,62.5,51,30,В зоне риска
S00050,6.9,4.9,74.8,83,73,Требует внимания
S00051,4.0,11.5,53.0,80,70,Требует внимания
S00052,4.9,12.0,86.1,54,63,Требует внимания
S00053,1.0,29.1,72.1,66,50,Требует внимания
S00054,4.6,10.4,79.8,59,54,Требует внимания
S00055,2.8,15.2,54.2,95,12,В зоне риска
S00056,1.0,17.0,77.3,95,57,Требует внимания
S00057,3.4,6.0,51.5,86,68,Требует внимания
S00058,7.1,27.1,58.6,77,51,Требует внимания
S00059,1.0,21.0,66.5,77,47,В зоне риска
S00060,4.7,5.9,88.2,48,29,В зоне риска
S00061,8.7,14.7,82.1,70,64,Требует внимания
S00062,5.7,8.2,80.1,70,12,В зоне риска
S00063,8.9,27.0,55.1,74,63,Требует внимания
S00064,3.3,29.3,61.5,55,71,Требует внимания
S00065,1.0,9.1,58.9,55,12,В зоне риска
S00066,2.9,12.5,73.4,67,53,Требует внимания
S00067,4.4,6.3,91.0,51,58,Требует внимания
S00068,3.2,7.2,91.6,94,63,Требует внимания
S00069,4.8,16.9,61.5,87,46,В зоне риска
S00070,9.7,14.8,54.2,69,43,В зоне риска
S00071,4.3,9.3,91.8,66,12,В зоне риска
S00072,3.3,22.6,65.3,95,39,В зоне риска
S00073,8.0,20.8,64.6,63,74,Требует внимания
S00074,10.8,15.8,64.7,75,68,Требует внимания
S00075,4.5,9.8,87.2,65,51,Требует внимания
S00076,4.9,11.3,77.7,54,35,В зоне риска
S00077,7.2,25.9,95.2,44,93,Успешный студент
S00078,11.5,7.6,77.2,94,74,Требует внимания
S00079,1.2,18.0,85.0,65,55,Требует внимания
S00080,1.3,30.7,51.0,86,51,Требует внимания
S00081,2.6,17.4,79.7,54,34,В зоне риска
S00082,3.9,24.0,62.2,72,76,Успешный студент
S00083,6.9,5.1,94.1,95,45,В зоне риска
S00084,4.6,25.1,73.8,69,49,В зоне риска
S00085,1.7,25.7,50.3,92,49,В зоне риска
S00086,2.3,23.8,64.9,60,61,Требует внимания
S00087,4.7,14.8,60.5,94,49,В зоне риска
S00088,8.4,11.4,61.7,92,69,Требует внимания
S00089,4.6,8.1,52.8,95,40,В зоне риска
S00090,8.2,15.7,51.3,61,64,Требует внимания
S00091,11.0,23.2,84.6,78,65,Требует внимания
S00092,2.3,33.1,96.5,88,72,Требует внимания
S00093,1.7,20.7,76.9,91,59,Требует внимания
S00094,6.8,20.7,64.1,46,82,Успешный студент
S00095,2.7,10.4,58.5,62,33,В зоне риска
S00096,5.9,10.1,98.8,92,40,В зоне риска
S00097,3.9,2.1,83.5,84,66,Требует внимания
S00098,4.4,20.3,52.2,95,69,Требует внимания
S00099,1.4,5.4,60.5,90,60,Требует внимания
S00100,2.1,28.9,96.1,51,72,Требует внимания
S00101,2.5,10.1,69.5,95,41,В зоне риска
S00102,3.0,22.4,92.6,81,63,Требует внимания
S00103,2.7,15.1,59.7,71,47,В зоне риска
S00104,3.3,26.9,50.3,91,66,Требует внимания
S00105,3.3,24.7,92.3,95,39,В зоне риска
S00106,4.6,12.4,65.4,95,53,Требует внимания
S00107,9.1,19.0,59.3,81,85,Успешный студент
S00108,3.8,20.0,73.8,69,12,В зоне риска
S00109,1.0,5.8,85.7,51,38,В зоне риска
S00110,1.8,13.7,77.9,88,53,Требует внимания
S00111,1.0,10.4,82.0,75,57,Требует внимания
S00112,6.5,15.2,65.3,78,43,В зоне риска
S00113,1.0,31.6,70.8,81,21,В зоне риска
S00114,7.0,10.5,94.7,95,66,Требует внимания
S00115,3.9,28.5,50.3,64,59,Требует внимания
S00116,6.7,19.3,56.8,76,94,Успешный студент
S00117,1.0,27.8,81.2,60,44,В зоне риска
S00118,8.5,28.1,54.5,84,18,В зоне риска
S00119,12.0,29.8,87.9,64,66,Требует внимания
S00120,2.2,24.3,63.2,69,45,В зоне риска
S00121,3.7,9.9,73.0,64,70,Требует внимания
S00122,6.5,17.8,53.5,95,52,Требует внимания
S00123,6.6,11.6,77.0,73,21,В зоне риска
S00124,8.2,21.2,73.4,91,61,Требует внимания
S00125,1.9,20.4,82.2,59,38,В зоне риска
S00126,1.0,9.2,50.3,87,30,В зоне риска
S00127,3.1,15.7,58.0,67,27,В зоне риска
S00128,10.5,11.7,57.9,69,54,Требует внимания
S00129,1.0,5.3,51.4,95,39,В зоне риска
S00130,7.5,11.0,82.9,67,65,Требует внимания
S00131,2.5,16.8,55.7,95,37,В зоне риска
S00132,5.4,18.3,92.8,40,50,Требует внимания
S00133,3.7,14.3,67.2,75,55,Требует внимания
S00134,1.8,6.2,79.9,56,72,Требует внимания
S00135,10.8,7.5,68.1,95,84,Успешный студент
S00136,4.0,8.5,84.8,62,55,Требует внимания
S00137,10.9,33.2,81.9,49,32,В зоне риска
S00138,1.8,13.4,88.1,73,46,В зоне риска
S00139,5.3,27.7,74.9,52,40,В зоне риска
S00140,4.8,27.5,81.6,95,67,Требует внимания
S00141,3.6,18.7,54.3,67,18,В зоне риска
S00142,5.5,26.3,69.1,81,73,Требует внимания
S00143,3.2,21.4,62.4,91,67,Требует внимания
S00144,2.6,9.2,68.1,66,56,Требует внимания
S00145,4.0,15.8,55.4,79,39,В зоне риска
S00146,1.3,17.0,91.9,69,53,Требует внимания
S00147,2.5,22.6,69.2,78,26,В зоне риска
S00148,2.2,22.6,52.3,71,46,В зоне риска
S00149,5.8,6.0,81.3,61,64,Требует внимания
S00150,1.0,26.2,55.3,53,48,В зоне риска
S00151,5.2,4.8,64.9,95,61,Требует внимания
S00152,1.4,11.4,64.4,74,12,В зоне риска
S00153,2.0,16.1,77.3,76,46,В зоне риска
S00154,8.3,10.1,69.0,71,54,Требует внимания
S00155,5.1,6.3,75.5,64,74,Требует внимания
S00156,8.6,9.5,50.3,93,43,В зоне риска
S00157,8.8,11.2,82.1,69,71,Требует внимания
S00158,5.5,8.6,54.6,66,33,В зоне риска
S00159,12.0,12.3,63.7,53,85,Успешный студент
S00160,2.6,11.5,77.5,74,73,Требует внимания
S00161,3.0,17.4,64.7,85,60,Требует внимания
S00162,2.1,12.7,54.3,89,45,В зоне риска
S00163,1.9,9.6,58.8,93,62,Требует внимания
S00164,6.4,24.5,68.3,80,35,В зоне риска
S00165,1.0,6.7,78.0,76,26,В зоне риска
S00166,11.0,29.9,61.3,46,76,Успешный студент
S00167,1.9,11.3,93.3,53,74,Требует внимания
S00168,4.1,26.7,63.6,68,47,В зоне риска
S00169,4.8,24.9,67.0,93,37,В зоне риска
S00170,9.3,13.0,66.9,68,36,В зоне риска
S00171,7.7,19.1,60.1,60,65,Требует внимания
S00172,1.9,16.4,62.2,95,57,Требует внимания
S00173,1.0,18.4,66.8,50,19,В зоне риска
S00174,7.7,20.2,100.0,82,82,Успешный студент
S00175,4.8,27.9,80.9,64,69,Требует внимания
S00176,2.9,23.4,70.7,61,52,Требует внимания
S00177,7.6,28.7,66.2,51,85,Успешный студент
S00178,6.4,19.3,61.2,95,58,Требует внимания
S00179,3.5,10.3,86.5,51,36,В зоне риска
S00180,5.8,27.9,60.1,60,58,Требует внимания
S00181,11.7,16.4,50.3,71,35,В зоне риска
S00182,1.1,16.6,76.1,60,41,В зоне риска
S00183,6.9,8.5,50.3,95,56,Требует внимания
S00184,7.9,18.6,50.9,79,55,Требует внимания
S00185,6.5,28.0,55.7,74,44,В зоне риска
S00186,12.0,28.3,84.1,72,76,Успешный студент
S00187,7.8,24.1,60.5,45,54,Требует внимания
S00188,7.6,13.6,50.3,85,79,Успешный студент
S00189,1.1,34.0,56.5,61,57,Требует внимания
S00190,5.4,24.9,72.8,95,60,Требует внимания
S00191,4.2,20.1,81.6,75,56,Требует внимания
S00192,2.5,5.8,92.1,86,27,В зоне риска
S00193,3.2,24.8,68.6,90,61,Требует внимания
S00194,10.4,14.2,67.3,95,77,Успешный студент
S00195,1.0,14.0,55.2,86,59,Требует внимания
S00196,6.4,27.6,53.5,94,59,Требует внимания
S00197,3.8,18.1,92.0,95,65,Требует внимания
S00198,9.2,13.0,63.0,66,22,В зоне риска
S00199,2.3,22.9,61.9,44,48,В зоне риска
S00200,1.0,9.5,90.3,69,58,Требует внимания
S00201,2.7,15.3,63.6,95,66,Требует внимания
S00202,2.1,14.3,97.9,88,55,Требует внимания
S00203,2.7,16.0,69.0,45,74,Требует внимания
S00204,5.9,19.7,61.7,95,42,В зоне риска
S00205,3.1,31.4,58.8,81,59,Требует внимания
S00206,10.8,6.8,97.0,68,59,Требует внимания
S00207,3.1,27.9,56.4,61,27,В зоне риска
S00208,2.1,16.3,50.3,40,42,В зоне риска
S00209,7.9,29.6,71.1,50,80,Успешный студент
S00210,9.0,17.7,71.5,84,68,Требует внимания
S00211,9.0,14.3,60.5,95,70,Требует внимания
S00212,3.8,30.5,64.9,93,56,Требует внимания
S00213,5.8,24.3,54.7,49,51,Требует внимания
S00214,11.6,23.5,68.5,88,55,Требует внимания
S00215,3.7,16.2,97.7,93,77,Успешный студент
S00216,2.3,30.1,75.5,63,12,В зоне риска
S00217,3.3,13.9,68.4,95,36,В зоне риска
S00218,4.4,14.7,62.2,72,16,В зоне риска
S00219,6.5,26.1,89.6,95,61,Требует внимания
S00220,5.7,27.0,55.9,95,67,Требует внимания
S00221,7.6,10.9,85.5,65,31,В зоне риска
S00222,8.4,31.0,56.4,95,72,Требует внимания
S00223,8.5,14.1,84.9,67,47,В зоне риска
S00224,1.0,30.3,62.0,91,49,В зоне риска
S00225,8.9,15.7,63.8,76,64,Требует внимания
S00226,9.4,25.9,73.7,68,67,Требует внимания
S00227,6.7,9.6,96.9,90,69,Требует внимания
S00228,6.5,18.2,60.3,70,15,В зоне риска
S00229,10.2,16.5,64.8,82,40,В зоне риска
S00230,6.1,22.5,78.2,95,52,Требует внимания
S00231,4.1,28.3,59.5,72,80,Успешный студент
S00232,12.0,22.8,91.9,47,54,Требует внимания
S00233,5.7,13.7,70.3,65,57,Требует внимания
S00234,5.4,23.0,50.3,95,38,В зоне риска
S00235,7.2,13.9,100.0,41,75,Успешный студент
S00236,4.7,10.1,62.9,40,47,В зоне риска
S00237,8.4,16.4,61.9,70,44,В зоне риска
S00238,5.3,25.3,85.5,50,74,Требует внимания
S00239,2.4,29.3,74.2,64,74,Требует внимания
S00240,5.9,16.0,59.9,95,42,В зоне риска
S00241,1.5,18.6,50.3,66,46,В зоне риска
S00242,7.1,11.4,83.2,68,49,В зоне риска
S00243,11.1,22.9,95.7,64,13,В зоне риска
S00244,1.1,17.9,73.5,54,35,В зоне риска
S00245,4.5,24.4,66.6,78,57,Требует внимания
S00246,4.4,21.7,78.3,91,44,В зоне риска
S00247,10.1,12.8,58.2,95,63,Требует внимания
S00248,1.0,9.1,62.1,91,54,Требует внимания
S00249,5.8,21.4,50.3,95,72,Требует внимания
S00250,1.0,22.0,90.3,77,45,В зоне риска
S00251,3.2,11.3,96.1,77,40,В зоне риска
S00252,1.2,17.4,96.9,95,63,Требует внимания
S00253,3.2,15.3,100.0,51,31,В зоне риска
S00254,12.0,19.9,65.8,92,87,Успешный студент
S00255,7.0,29.6,53.8,41,73,Требует внимания
S00256,1.0,24.7,91.8,40,55,Требует внимания
S00257,8.2,5.9,66.3,83,59,Требует внимания
S00258,6.3,9.7,58.4,95,52,Требует внимания
S00259,4.1,7.4,51.4,65,35,В зоне риска
S00260,1.6,10.7,87.1,79,74,Требует внимания
S00261,8.6,26.9,54.6,69,75,Успешный студент
S00262,1.0,11.1,73.4,41,84,Успешный студент
S00263,5.2,27.7,72.0,84,51,Требует внимания
S00264,4.3,26.6,57.2,85,67,Требует внимания
S00265,12.0,16.1,75.7,95,64,Требует внимания
S00266,1.4,17.7,60.7,58,27,В зоне риска
S00267,1.0,7.9,67.0,95,17,В зоне риска
S00268,6.0,27.1,52.0,52,63,Требует внимания
S00269,10.0,15.1,65.0,83,47,В зоне риска
S00270,9.9,18.7,69.0,61,76,Успешный студент
S00271,1.1,17.1,74.7,46,56,Требует внимания
S00272,7.6,31.4,63.2,72,65,Требует внимания
S00273,7.6,18.8,88.4,47,62,Требует внимания
S00274,1.6,26.7,69.0,95,81,Успешный студент
S00275,7.9,18.4,63.0,69,61,Требует внимания
S00276,3.6,12.4,50.3,95,39,В зоне риска
S00277,3.3,27.4,75.7,82,45,В зоне риска
S00278,9.2,18.9,72.7,58,22,В зоне риска
S00279,12.0,16.2,76.2,90,50,Требует внимания
S00280,8.0,28.5,64.5,52,59,Требует внимания
S00281,10.5,26.4,56.4,47,71,Требует внимания
S00282,3.8,11.5,68.5,73,53,Требует внимания
S00283,4.7,8.3,76.3,40,59,Требует внимания
S00284,1.0,16.2,84.1,62,71,Требует внимания
S00285,4.5,30.5,81.3,95,50,Требует внимания
S00286,6.7,14.0,50.3,61,42,В зоне риска
S00287,2.5,19.8,60.5,88,64,Требует внимания
S00288,7.0,13.2,50.3,87,66,Требует внимания
S00289,1.0,6.6,50.3,49,57,Требует внимания
S00290,2.0,18.5,77.8,48,75,Успешный студент
S00291,2.9,17.9,69.7,95,68,Требует внимания
S00292,6.9,15.5,50.3,93,65,Требует внимания
S00293,3.0,14.9,53.9,73,76,Успешный студент
S00294,1.1,2.3,76.5,94,33,В зоне риска
S00295,4.8,26.9,64.4,82,72,Требует внимания
S00296,3.8,16.8,75.2,95,72,Требует внимания
S00297,8.7,7.6,53.0,95,21,В зоне риска
S00298,2.0,15.5,76.3,74,55,Требует внимания
S00299,4.8,26.2,62.5,61,45,В зоне риска
S00300,2.1,34.2,58.5,58,39,В зоне риска
S00301,5.2,11.1,64.8,58,38,В зоне риска
S00302,2.5,25.1,50.3,89,42,В зоне риска
S00303,5.7,22.1,79.4,95,58,Требует внимания
S00304,3.5,24.8,50.3,95,57,Требует внимания
S00305,1.1,12.8,86.3,75,43,В зоне риска
S00306,3.9,21.2,56.5,47,68,Требует внимания
S00307,5.5,4.3,89.9,95,54,Требует внимания
S00308,2.5,16.9,87.0,69,50,Требует внимания
S00309,3.5,12.0,88.5,91,78,Успешный студент
S00310,4.9,20.3,89.9,91,69,Требует внимания
S00311,1.0,18.6,85.5,92,12,В зоне риска
S00312,1.7,19.0,62.3,62,55,Требует внимания
S00313,3.7,7.6,69.3,70,28,В зоне риска
S00314,3.2,29.2,51.6,68,22,В зоне риска
S00315,3.3,31.0,66.3,40,37,В зоне риска
S00316,2.8,9.8,54.3,90,83,Успешный студент
S00317,9.6,24.6,50.3,75,70,Требует внимания
S00318,6.7,16.0,58.3,67,83,Успешный студент
S00319,9.3,8.7,50.3,93,64,Требует внимания
S00320,4.7,35.8,70.6,95,78,Успешный студент
S00321,1.2,9.4,84.8,63,41,В зоне риска
S00322,5.4,23.8,62.6,75,60,Требует внимания
S00323,9.7,6.7,69.1,65,40,В зоне риска
S00324,7.3,29.7,76.3,78,43,В зоне риска
S00325,2.0,31.1,62.4,49,35,В зоне риска
S00326,5.3,17.0,76.4,67,55,Требует внимания
S00327,5.8,11.3,93.9,95,35,В зоне риска
S00328,2.0,16.6,59.9,68,58,Требует внимания
S00329,6.7,23.7,78.0,95,42,В зоне риска
S00330,7.9,25.8,62.4,95,53,Требует внимания
S00331,3.6,13.3,62.6,44,38,В зоне риска
S00332,4.6,24.0,70.6,81,57,Требует внимания
S00333,3.2,28.0,61.8,59,60,Требует внимания
S00334,1.0,12.9,81.6,73,30,В зоне риска
S00335,5.3,11.4,73.6,57,85,Успешный студент
S00336,9.0,18.7,75.3,66,59,Требует внимания
S00337,8.3,20.9,71.1,74,34,В зоне риска
S00338,4.5,25.9,66.6,85,56,Требует внимания
S00339,6.6,22.2,60.1,56,38,В зоне риска
S00340,1.5,12.8,76.1,85,33,В зоне риска
S00341,3.1,15.2,100.0,55,64,Требует внимания
S00342,3.2,25.8,54.9,59,83,Успешный студент
S00343,2.5,29.8,60.2,61,33,В зоне риска
S00344,4.1,16.0,75.2,74,47,В зоне риска
S00345,10.4,25.5,56.4,88,61,Требует внимания
S00346,10.3,3.0,94.6,40,47,В зоне риска
S00347,4.8,18.4,57.8,95,54,Требует внимания
S00348,10.8,12.7,50.3,64,79,Успешный студент
S00349,9.9,14.3,52.4,95,65,Требует внимания
S00350,5.4,18.3,73.3,91,22,В зоне риска
S00351,2.3,10.5,50.3,81,59,Требует внимания
S00352,4.7,25.0,95.0,56,62,Требует внимания
S00353,1.0,22.5,74.0,95,52,Требует внимания
S00354,2.9,11.7,60.3,65,45,В зоне риска
S00355,7.0,10.0,62.0,91,31,В зоне риска
S00356,10.6,14.9,74.6,94,56,Требует внимания
S00357,7.8,11.3,72.0,93,64,Требует внимания
S00358,8.3,10.6,62.2,64,36,В зоне риска
S00359,9.2,12.2,52.4,46,21,В зоне риска
S00360,6.3,28.7,51.3,95,64,Требует внимания
S00361,5.7,15.3,64.3,85,20,В зоне риска
S00362,9.0,31.9,62.5,73,94,Успешный студент
S00363,7.7,18.4,52.2,46,73,Требует внимания
S00364,10.3,29.5,75.7,93,32,В зоне риска
S00365,2.4,18.7,52.2,93,56,Требует внимания
S00366,1.8,25.3,86.3,59,48,В зоне риска
S00367,8.3,16.6,62.4,95,61,Требует внимания
S00368,1.0,30.3,52.4,71,78,Успешный студент
S00369,1.0,25.4,86.3,50,53,Требует внимания
S00370,6.8,23.5,66.7,67,85,Успешный студент
S00371,10.3,29.0,50.3,86,63,Требует внимания
S00372,1.1,25.1,82.8,77,77,Успешный студент
S00373,4.2,12.2,87.8,67,53,Требует внимания
S00374,9.1,11.9,86.4,56,87,Успешный студент
S00375,2.6,8.2,74.1,77,43,В зоне риска
S00376,3.9,24.5,71.6,74,51,Требует внимания
S00377,8.6,23.4,68.9,61,54,Требует внимания
S00378,3.0,21.1,53.0,59,50,Требует внимания
S00379,4.1,3.9,86.3,80,24,В зоне риска
S00380,2.3,25.4,79.5,61,12,В зоне риска
S00381,1.7,6.0,58.1,80,40,В зоне риска
S00382,11.5,12.3,62.1,90,16,В зоне риска
S00383,9.3,29.6,50.3,50,62,Требует внимания
S00384,2.4,22.8,90.7,59,68,Требует внимания
S00385,3.8,11.3,54.6,95,68,Требует внимания
S00386,1.0,7.5,79.8,79,43,В зоне риска
S00387,6.9,3.1,53.2,59,47,В зоне риска
S00388,5.1,21.6,66.5,95,61,Требует внимания
S00389,4.9,30.3,99.6,79,34,В зоне риска
S00390,6.6,7.8,73.0,82,70,Требует внимания
S00391,1.0,15.4,61.3,45,25,В зоне риска
S00392,2.1,10.3,73.2,92,40,В зоне риска
S00393,1.7,23.2,58.5,95,36,В зоне риска
S00394,2.9,31.3,57.9,72,53,Требует внимания
S00395,8.3,19.2,70.3,46,81,Успешный студент
S00396,7.3,13.1,87.9,71,53,Требует внимания
S00397,1.0,24.8,50.3,42,33,В зоне риска
S00398,1.3,10.0,50.3,95,85,Успешный студент
S00399,6.8,17.3,88.9,95,48,В зоне риска
S00400,10.7,25.8,68.6,64,57,Требует внимания
S00401,3.3,16.9,59.5,53,43,В зоне риска
S00402,8.2,8.5,85.7,82,53,Требует внимания
S00403,9.4,27.3,91.0,80,60,Требует внимания
S00404,3.3,24.3,57.2,87,47,В зоне риска
S00405,3.8,17.4,97.3,68,55,Требует внимания
S00406,9.8,26.1,75.7,61,48,В зоне риска
S00407,10.8,30.9,68.9,40,55,Требует внимания
S00408,1.0,7.3,50.3,72,48,В зоне риска
S00409,7.7,6.0,88.0,71,20,В зоне риска
S00410,8.3,30.5,68.1,52,63,Требует внимания
S00411,6.5,12.5,94.5,91,78,Успешный студент
S00412,7.2,13.6,65.2,95,39,В зоне риска
S00413,5.9,28.1,97.8,82,49,В зоне риска
S00414,1.4,17.2,54.9,43,13,В зоне риска
S00415,5.4,25.8,75.7,78,14,В зоне риска
S00416,2.5,22.7,85.3,50,63,Требует внимания
S00417,2.5,9.1,67.4,89,19,В зоне риска
S00418,1.5,15.7,58.0,59,52,Требует внимания
S00419,3.8,11.5,65.2,65,77,Успешный студент
S00420,2.0,8.5,89.1,95,65,Требует внимания
S00421,7.3,33.1,92.1,55,66,Требует внимания
S00422,3.5,16.6,50.3,40,79,Успешный студент
S00423,1.7,15.7,50.3,54,61,Требует внимания
S00424,1.0,5.4,74.2,73,89,Успешный студент
S00425,2.6,21.2,62.6,70,61,Требует внимания
S00426,6.4,26.3,76.0,78,94,Успешный студент
S00427,3.8,14.5,74.1,86,59,Требует внимания
S00428,4.5,22.3,64.4,61,91,Успешный студент
S00429,5.2,6.8,83.3,75,53,Требует внимания
S00430,1.9,22.2,64.2,71,42,В зоне риска
S00431,7.1,11.2,56.3,71,64,Требует внимания
S00432,3.9,8.9,50.3,86,48,В зоне риска
S00433,4.1,10.6,74.3,95,28,В зоне риска
S00434,1.4,23.0,59.7,90,50,Требует внимания
S00435,1.8,16.6,54.7,89,78,Успешный студент
S00436,1.8,24.9,81.1,87,51,Требует внимания
S00437,2.5,10.0,90.8,62,19,В зоне риска
S00438,5.1,16.8,70.5,52,73,Требует внимания
S00439,9.6,14.3,50.3,87,69,Требует внимания
S00440,2.7,10.2,72.4,57,63,Требует внимания
S00441,8.7,10.3,56.0,60,44,В зоне риска
S00442,3.1,23.9,61.7,64,53,Требует внимания
S00443,3.8,22.4,92.9,91,38,В зоне риска
S00444,12.0,14.9,90.5,94,55,Требует внимания
S00445,8.9,12.8,84.7,72,63,Требует внимания
S00446,1.6,13.4,100.0,88,60,Требует внимания
S00447,3.3,23.4,63.0,51,47,В зоне риска
S00448,5.0,28.3,76.1,79,46,В зоне риска
S00449,7.3,14.7,76.4,55,68,Требует внимания
S00450,1.7,23.1,98.0,95,63,Требует внимания
S00451,4.7,5.9,65.3,89,45,В зоне риска
S00452,5.6,9.1,68.2,48,35,В зоне риска
S00453,8.7,22.2,79.0,71,27,В зоне риска
S00454,2.4,6.1,80.8,70,35,В зоне риска
S00455,6.6,12.9,54.5,70,48,В зоне риска
S00456,8.2,12.7,51.3,95,51,Требует внимания
S00457,8.6,25.7,79.7,53,42,В зоне риска
S00458,8.0,29.4,68.5,52,44,В зоне риска
S00459,5.9,13.1,83.4,95,67,Требует внимания
S00460,3.3,17.7,66.5,91,63,Требует внимания
S00461,8.9,22.8,69.9,43,85,Успешный студент
S00462,4.3,25.8,59.2,66,43,В зоне риска
S00463,2.7,28.6,68.0,62,52,Требует внимания
S00464,4.7,18.7,52.6,74,64,Требует внимания
S00465,8.9,15.7,66.1,95,21,В зоне риска
S00466,2.0,20.2,68.6,59,61,Требует внимания
S00467,10.4,23.6,94.8,95,78,Успешный студент
S00468,7.6,32.2,78.9,79,68,Требует внимания
S00469,1.8,23.8,93.3,95,44,В зоне риска
S00470,9.4,12.1,69.1,40,55,Требует внимания
S00471,2.6,17.0,80.1,89,69,Требует внимания
S00472,1.0,24.9,50.3,95,45,В зоне риска
S00473,2.6,16.3,93.9,68,72,Требует внимания
S00474,4.8,18.2,58.0,95,27,В зоне риска
S00475,5.6,16.4,82.9,95,53,Требует внимания
S00476,1.0,27.7,89.2,52,55,Требует внимания
S00477,12.0,27.9,53.9,72,40,В зоне риска
S00478,4.9,4.6,64.2,41,66,Требует внимания
S00479,8.4,25.1,70.4,95,74,Требует внимания
S00480,3.9,27.6,83.8,71,64,Требует внимания
S00481,3.0,14.6,56.8,86,22,В зоне риска
S00482,3.7,16.7,56.0,70,47,В зоне риска
S00483,4.2,24.4,74.3,54,24,В зоне риска
S00484,2.9,25.2,75.3,95,37,В зоне риска
S00485,1.0,12.3,83.6,69,44,В зоне риска
S00486,11.6,22.8,57.1,66,49,В зоне риска
S00487,6.0,17.7,66.0,85,54,Требует внимания
S00488,1.0,15.0,60.4,49,31,В зоне риска
S00489,3.3,32.6,60.9,95,62,Требует внимания
S00490,4.0,31.1,94.8,90,44,В зоне риска
S00491,1.0,20.2,53.6,52,52,Требует внимания
S00492,5.4,18.4,61.1,71,43,В зоне риска
S00493,4.3,27.1,55.0,74,45,В зоне риска
S00494,5.2,18.2,50.3,92,12,В зоне риска
S00495,10.2,14.5,64.8,45,56,Требует внимания
S00496,4.1,14.7,69.7,40,26,В зоне риска
S00497,5.9,9.9,63.1,87,59,Требует внимания
S00498,6.7,10.3,88.9,60,63,Требует внимания
S00499,8.9,5.9,72.4,59,46,В зоне риска
S00500,3.4,11.0,81.4,90,56,Требует внимания
S00501,2.3,11.1,54.3,67,39,В зоне риска
S00502,8.5,16.9,86.9,87,56,Требует внимания
S00503,8.1,28.6,61.9,68,22,В зоне риска
S00504,1.2,23.8,80.6,76,23,В зоне риска
S00505,7.5,8.2,52.6,69,63,Требует внимания
S00506,7.6,23.3,50.4,81,54,Требует внимания
S00507,7.9,34.9,54.4,95,51,Требует внимания
S00508,4.0,18.7,50.3,56,89,Успешный студент
S00509,2.9,5.3,58.7,65,20,В зоне риска
S00510,7.4,30.6,73.2,95,78,Успешный студент
S00511,7.7,16.2,50.3,64,59,Требует внимания
S00512,1.0,14.9,87.3,95,50,Требует внимания
S00513,5.6,23.4,91.1,82,61,Требует внимания
S00514,1.4,25.7,93.0,84,76,Успешный студент
S00515,3.5,19.1,82.1,77,50,Требует внимания
