hours_studied,lms_activity_hours,attendance_percent,previous_scores,exam_score,risk_category,risk_level
9.8,22.1,83.7,95,74,Требует внимания,1
3.3,20.9,70.9,82,32,В зоне риска,0
8.4,24.7,68.6,47,39,В зоне риска,0
7.1,6.6,91.8,75,33,В зоне риска,0
3.9,30.0,57.2,94,60,Требует внимания,1
2.2,17.9,53.4,85,72,Требует внимания,1
2.0,19.4,69.2,95,55,Требует внимания,1
2.1,5.5,91.6,71,35,В зоне риска,0
8.6,10.3,50.3,87,46,В зоне риска,0
10.5,10.3,66.0,95,66,Требует внимания,1
5.6,19.7,73.4,66,54,Требует внимания,1
4.7,27.1,90.7,84,53,Требует внимания,1
1.4,22.6,65.4,52,74,Требует внимания,1
11.0,23.0,51.2,53,68,Требует внимания,1
10.1,19.3,71.6,95,87,Успешный студент,2
5.0,29.9,86.6,51,73,Требует внимания,1
12.0,24.5,82.1,93,49,В зоне риска,0
2.1,9.4,63.9,71,72,Требует внимания,1
10.1,21.3,82.3,95,53,Требует внимания,1
12.0,11.5,60.1,74,26,В зоне риска,0
10.9,33.2,81.9,49,32,В зоне риска,0
8.2,26.6,57.7,74,69,Требует внимания,1
1.0,20.3,50.3,63,19,В зоне риска,0
5.1,26.1,75.0,95,49,В зоне риска,0
4.0,7.1,93.6,90,58,Требует внимания,1
7.4,23.6,55.1,95,61,Требует внимания,1
11.1,3.8,86.8,60,46,В зоне риска,0
4.4,11.0,77.7,68,84,Успешный студент,2
8.3,17.9,92.3,87,43,В зоне риска,0
7.4,20.9,76.2,95,27,В зоне риска,0
3.8,11.5,68.5,73,53,Требует внимания,1
3.6,29.5,53.0,69,12,В зоне риска,0
3.5,11.1,50.3,94,60,Требует внимания,1
4.0,28.5,94.4,64,57,Требует внимания,1
6.7,7.8,65.7,73,40,В зоне риска,0
9.5,32.5,50.3,49,86,Успешный студент,2
11.3,22.0,70.4,95,23,В зоне риска,0
1.0,32.3,100.0,88,51,Требует внимания,1
1.0,16.9,71.1,76,55,Требует внимания,1
9.5,10.9,50.3,75,48,В зоне риска,0
1.9,21.4,92.1,65,73,Требует внимания,1
1.8,11.3,71.5,86,50,Требует внимания,1
9.7,18.0,61.0,77,74,Требует внимания,1
5.8,18.2,54.1,59,61,Требует внимания,1
12.0,24.3,81.2,84,50,Требует внимания,1
3.8,29.7,50.3,47,65,Требует внимания,1
6.6,16.9,91.7,86,59,Требует внимания,1
1.0,13.0,64.3,77,61,Требует внимания,1
6.4,19.3,61.2,95,58,Требует внимания,1
7.0,7.1,57.0,94,12,В зоне риска,0
7.1,24.5,50.3,66,70,Требует внимания,1
8.3,13.6,58.2,65,41,В зоне риска,0
1.7,25.7,58.6,95,37,В зоне риска,0
1.0,22.3,90.0,91,36,В зоне риска,0
6.1,22.9,95.7,70,22,В зоне риска,0
2.7,24.5,87.4,63,43,В зоне риска,0
6.2,20.5,57.3,68,46,В зоне риска,0
6.7,19.0,54.8,51,31,В зоне риска,0
4.2,14.4,55.7,64,52,Требует внимания,1
2.2,16.4,65.8,94,12,В зоне риска,0
7.5,24.0,89.7,68,51,Требует внимания,1
10.0,18.6,65.6,54,86,Успешный студент,2
1.7,13.3,65.7,51,81,Успешный студент,2
7.6,18.5,93.3,95,12,В зоне риска,0
9.4,27.2,65.5,60,44,В зоне риска,0
4.2,7.5,54.1,95,66,Требует внимания,1
8.2,19.4,90.1,89,42,В зоне риска,0
8.9,31.6,56.6,64,70,Требует внимания,1
3.1,11.4,53.4,40,63,Требует внимания,1
11.6,32.8,56.2,74,73,Требует внимания,1
5.7,11.6,62.8,70,26,В зоне риска,0
1.0,26.2,80.4,91,51,Требует внимания,1
9.1,29.1,50.3,75,57,Требует внимания,1
4.7,24.4,62.5,95,60,Требует внимания,1
5.7,15.3,67.5,89,67,Требует внимания,1
2.5,14.8,59.3,95,57,Требует внимания,1
2.2,16.7,58.0,63,65,Требует внимания,1
2.3,29.2,91.3,95,45,В зоне риска,0
11.9,26.5,50.3,95,68,Требует внимания,1
5.5,22.5,63.6,59,63,Требует внимания,1
8.1,26.8,60.6,48,83,Успешный студент,2
9.8,24.1,66.9,43,73,Требует внимания,1
1.3,23.8,80.4,95,66,Требует внимания,1
1.5,8.6,66.2,55,57,Требует внимания,1
9.7,13.5,52.7,95,41,В зоне риска,0
1.8,12.0,100.0,76,62,Требует внимания,1
3.9,14.4,50.3,90,32,В зоне риска,0
12.0,26.3,91.1,82,42,В зоне риска,0
1.9,18.3,58.3,40,68,Требует внимания,1
1.5,12.4,80.8,59,41,В зоне риска,0
1.0,12.7,76.4,50,63,Требует внимания,1
4.1,11.5,56.7,40,65,Требует внимания,1
1.0,27.7,70.7,84,48,В зоне риска,0
11.1,25.9,87.3,92,69,Требует внимания,1
3.3,19.1,64.9,95,50,Требует внимания,1
3.9,20.7,65.6,71,79,Успешный студент,2
7.1,20.7,51.4,73,51,Требует внимания,1
8.0,16.5,79.8,50,52,Требует внимания,1
1.0,34.2,56.1,75,48,В зоне риска,0
3.5,18.4,71.2,81,61,Требует внимания,1
2.9,26.5,68.4,87,38,В зоне риска,0
12.0,25.2,68.7,93,47,В зоне риска,0
5.3,30.8,64.2,84,60,Требует внимания,1
1.0,16.5,81.4,65,58,Требует внимания,1
5.4,12.5,88.1,53,93,Успешный студент,2
5.8,27.4,62.3,77,55,Требует внимания,1
2.8,18.8,63.2,76,62,Требует внимания,1
5.9,25.6,55.2,67,47,В зоне риска,0
1.8,15.6,98.8,78,21,В зоне риска,0
11.5,29.8,87.7,53,69,Требует внимания,1
3.7,5.7,70.0,77,25,В зоне риска,0
1.0,15.5,50.3,73,46,В зоне риска,0
6.8,21.4,63.4,95,90,Успешный студент,2
10.5,12.9,100.0,71,66,Требует внимания,1
9.4,23.6,89.4,95,82,Успешный студент,2
3.0,14.9,53.9,73,76,Успешный студент,2
7.5,24.7,60.8,55,36,В зоне риска,0
3.9,13.6,85.3,56,67,Требует внимания,1
8.4,30.7,89.0,55,59,Требует внимания,1
2.4,20.2,86.9,73,52,Требует внимания,1
6.6,27.7,58.3,92,72,Требует внимания,1
4.4,11.1,59.6,94,60,Требует внимания,1
7.0,14.0,54.2,73,32,В зоне риска,0
3.0,9.6,79.0,95,49,В зоне риска,0
7.3,18.3,72.8,71,60,Требует внимания,1
3.8,20.8,62.6,72,72,Требует внимания,1
2.7,11.5,69.3,47,30,В зоне риска,0
6.2,22.2,64.8,64,42,В зоне риска,0
10.6,11.1,50.3,74,53,Требует внимания,1
4.6,27.8,64.6,95,64,Требует внимания,1
1.0,6.7,68.9,80,69,Требует внимания,1
10.4,13.8,90.2,45,41,В зоне риска,0
1.6,26.6,71.0,70,59,Требует внимания,1
9.9,15.9,60.3,62,45,В зоне риска,0
3.6,22.5,60.9,77,12,В зоне риска,0
5.2,22.7,55.3,95,91,Успешный студент,2
10.2,18.2,62.3,58,55,Требует внимания,1
3.8,13.8,96.3,95,56,Требует внимания,1
10.7,30.8,79.0,95,55,Требует внимания,1
2.1,34.0,93.0,46,58,Требует внимания,1
11.8,24.0,66.5,73,22,В зоне риска,0
2.5,17.1,53.1,84,17,В зоне риска,0
6.0,16.2,66.0,89,83,Успешный студент,2
7.8,33.2,77.4,70,50,Требует внимания,1
7.8,26.6,52.6,70,27,В зоне риска,0
3.0,6.8,76.4,95,17,В зоне риска,0
4.7,25.6,80.5,80,55,Требует внимания,1
10.2,25.9,55.3,61,87,Успешный студент,2
10.4,31.3,52.0,95,53,Требует внимания,1
4.4,22.6,50.3,95,57,Требует внимания,1
5.2,20.8,66.5,90,49,В зоне риска,0
7.4,26.6,66.4,95,32,В зоне риска,0
8.2,23.4,80.6,70,27,В зоне риска,0
3.0,28.6,84.6,86,76,Успешный студент,2
8.7,9.6,57.7,63,15,В зоне риска,0
2.9,24.3,68.5,82,12,В зоне риска,0
5.2,22.0,68.5,73,57,Требует внимания,1
4.5,7.3,81.8,53,60,Требует внимания,1
12.0,19.9,65.8,92,87,Успешный студент,2
1.3,17.0,91.9,69,53,Требует внимания,1
6.8,27.6,86.6,48,43,В зоне риска,0
7.0,31.9,50.9,84,61,Требует внимания,1
3.9,15.1,51.1,75,76,Успешный студент,2
2.4,15.4,57.6,78,48,В зоне риска,0
2.3,6.7,87.4,92,33,В зоне риска,0
9.1,26.5,55.0,69,50,Требует внимания,1
2.7,23.2,55.0,66,68,Требует внимания,1
7.2,19.8,80.5,71,62,Требует внимания,1
5.4,20.0,91.3,72,56,Требует внимания,1
11.0,8.2,77.5,95,60,Требует внимания,1
2.3,5.5,93.0,51,43,В зоне риска,0
5.0,11.5,77.4,84,56,Требует внимания,1
4.8,22.7,91.7,61,62,Требует внимания,1
8.7,5.1,51.7,95,73,Требует внимания,1
6.9,22.5,70.1,95,62,Требует внимания,1
3.1,31.2,59.3,62,17,В зоне риска,0
4.1,23.9,54.7,40,40,В зоне риска,0
3.8,36.9,58.9,64,22,В зоне риска,0
7.2,9.0,100.0,95,40,В зоне риска,0
2.4,16.5,79.9,95,53,Требует внимания,1
6.5,27.8,63.8,77,65,Требует внимания,1
7.7,25.0,69.2,91,48,В зоне риска,0
3.2,10.8,60.9,90,41,В зоне риска,0
1.4,2.1,56.8,82,87,Успешный студент,2
1.7,27.6,96.8,82,63,Требует внимания,1
3.1,10.8,65.4,72,53,Требует внимания,1
6.8,18.5,55.1,95,86,Успешный студент,2
5.9,22.0,69.0,95,56,Требует внимания,1
8.3,12.3,50.5,73,59,Требует внимания,1
1.0,10.6,74.6,90,40,В зоне риска,0
10.7,12.3,81.1,95,67,Требует внимания,1
2.1,12.7,54.3,89,45,В зоне риска,0
2.4,31.1,54.1,63,56,Требует внимания,1
6.3,10.7,50.3,80,22,В зоне риска,0
7.4,24.5,50.3,63,63,Требует внимания,1
1.0,18.8,68.8,95,16,В зоне риска,0
7.5,22.0,66.0,95,57,Требует внимания,1
5.7,17.9,50.4,92,50,Требует внимания,1
10.0,7.2,86.1,84,67,Требует внимания,1
3.0,27.1,81.1,52,70,Требует внимания,1
4.6,18.4,97.6,55,57,Требует внимания,1
5.8,10.2,81.2,95,80,Успешный студент,2
5.8,21.9,91.7,69,49,В зоне риска,0
1.0,17.4,52.8,92,38,В зоне риска,0
10.6,26.4,91.6,55,86,Успешный студент,2
5.0,18.2,50.3,71,37,В зоне риска,0
6.3,18.4,57.4,55,46,В зоне риска,0
7.8,11.4,66.1,46,71,Требует внимания,1
1.1,27.8,93.6,71,32,В зоне риска,0
4.5,5.6,93.3,69,52,Требует внимания,1
10.8,23.7,75.8,65,52,Требует внимания,1
4.5,18.1,53.2,68,53,Требует внимания,1
6.0,21.3,93.8,90,64,Требует внимания,1
8.2,25.0,75.0,55,25,В зоне риска,0
5.5,24.7,61.2,94,36,В зоне риска,0
2.8,16.8,69.9,91,48,В зоне риска,0
5.3,7.7,96.6,69,60,Требует внимания,1
7.9,11.0,89.1,78,49,В зоне риска,0
2.9,9.2,50.3,72,46,В зоне риска,0
5.3,25.3,85.5,50,74,Требует внимания,1
3.1,33.3,71.1,64,46,В зоне риска,0
4.7,7.9,64.5,85,58,Требует внимания,1
4.7,16.8,53.7,67,31,В зоне риска,0
9.2,10.9,71.3,73,40,В зоне риска,0
7.4,22.0,79.9,66,27,В зоне риска,0
2.4,32.5,84.6,61,73,Требует внимания,1
4.2,13.6,75.5,79,51,Требует внимания,1
11.2,14.5,91.4,71,70,Требует внимания,1
6.4,13.8,89.7,87,61,Требует внимания,1
3.1,17.0,67.7,92,74,Требует внимания,1
8.9,28.6,60.8,70,69,Требует внимания,1
8.5,24.4,50.9,74,30,В зоне риска,0
8.1,3.4,89.1,77,53,Требует внимания,1
5.2,8.7,86.5,76,37,В зоне риска,0
10.9,26.7,69.3,95,66,Требует внимания,1
9.8,19.9,62.2,51,74,Требует внимания,1
1.0,17.7,71.9,95,25,В зоне риска,0
1.0,18.4,57.0,95,34,В зоне риска,0
11.5,23.9,61.2,95,63,Требует внимания,1
7.0,27.2,66.4,89,18,В зоне риска,0
2.2,25.7,62.5,95,49,В зоне риска,0
2.9,21.9,82.3,91,29,В зоне риска,0
8.1,10.7,98.7,68,51,Требует внимания,1
8.7,15.2,50.3,95,79,Успешный студент,2
3.0,18.2,71.5,65,70,Требует внимания,1
11.5,10.3,61.1,88,63,Требует внимания,1
1.0,11.6,83.5,79,63,Требует внимания,1
7.1,9.1,86.5,74,55,Требует внимания,1
6.1,23.4,61.9,95,71,Требует внимания,1
6.3,9.2,72.8,80,35,В зоне риска,0
9.2,23.8,75.0,95,74,Требует внимания,1
1.0,26.2,55.3,53,48,В зоне риска,0
3.5,29.0,80.0,92,69,Требует внимания,1
5.5,25.1,69.5,90,46,В зоне риска,0
1.8,15.4,75.9,63,69,Требует внимания,1
4.3,22.9,55.2,68,50,Требует внимания,1
1.9,14.0,99.8,60,48,В зоне риска,0
2.0,6.8,56.6,93,36,В зоне риска,0
4.6,16.3,100.0,54,56,Требует внимания,1
8.5,21.0,61.5,92,63,Требует внимания,1
2.3,22.0,84.3,59,65,Требует внимания,1
3.7,26.1,64.2,63,57,Требует внимания,1
4.5,20.1,56.9,69,64,Требует внимания,1
12.0,21.3,71.5,60,69,Требует внимания,1
1.1,16.6,76.1,60,41,В зоне риска,0
8.2,21.8,56.7,50,48,В зоне риска,0
6.0,14.3,57.1,64,41,В зоне риска,0
2.1,13.4,76.9,72,67,Требует внимания,1
1.6,9.8,60.5,75,82,Успешный студент,2
4.3,28.3,54.4,81,32,В зоне риска,0
1.0,28.2,64.4,75,70,Требует внимания,1
8.0,14.9,66.9,95,39,В зоне риска,0
2.1,17.1,57.4,90,70,Требует внимания,1
9.6,24.3,68.5,57,45,В зоне риска,0
2.0,17.6,100.0,56,75,Успешный студент,2
2.1,10.0,87.4,56,36,В зоне риска,0
6.7,23.4,60.3,65,29,В зоне риска,0
8.2,28.9,96.9,73,46,В зоне риска,0
9.6,15.2,69.8,94,46,В зоне риска,0
8.9,15.2,77.6,69,53,Требует внимания,1
9.4,11.8,50.3,91,32,В зоне риска,0
1.0,14.9,87.3,95,50,Требует внимания,1
1.0,24.1,58.8,94,73,Требует внимания,1
2.9,27.8,60.8,56,24,В зоне риска,0
1.3,30.9,79.6,41,55,Требует внимания,1
9.8,27.7,97.5,65,53,Требует внимания,1
11.2,22.9,97.6,87,66,Требует внимания,1
8.6,20.7,68.8,88,94,Успешный студент,2
5.3,31.4,66.5,60,78,Успешный студент,2
1.9,22.8,76.3,60,28,В зоне риска,0
1.2,6.0,99.1,49,60,Требует внимания,1
7.1,21.3,54.3,40,51,Требует внимания,1
1.0,31.2,73.3,58,46,В зоне риска,0
5.1,15.4,63.0,51,75,Успешный студент,2
3.0,13.6,62.1,95,37,В зоне риска,0
9.0,19.4,68.8,88,66,Требует внимания,1
4.9,16.9,91.6,83,37,В зоне риска,0
3.7,29.8,84.3,55,77,Успешный студент,2
6.2,13.2,58.3,95,44,В зоне риска,0
3.7,28.5,55.1,90,44,В зоне риска,0
7.3,23.6,71.8,54,61,Требует внимания,1
4.5,22.0,88.7,89,38,В зоне риска,0
9.0,23.4,81.0,95,76,Успешный студент,2
1.4,23.0,59.7,90,50,Требует внимания,1
5.2,14.4,63.6,44,66,Требует внимания,1
12.0,6.2,80.3,95,72,Требует внимания,1
2.0,18.1,50.3,76,21,В зоне риска,0
1.0,24.2,87.9,68,50,Требует внимания,1
9.3,20.7,71.9,70,27,В зоне риска,0
2.8,15.2,51.7,66,57,Требует внимания,1
5.7,30.1,50.4,60,55,Требует внимания,1
5.7,16.2,94.8,82,94,Успешный студент,2
3.3,26.1,91.4,71,49,В зоне риска,0
12.0,18.1,72.5,62,81,Успешный студент,2
4.8,20.1,63.1,77,45,В зоне риска,0
9.6,28.7,53.8,93,59,Требует внимания,1
3.6,16.3,51.9,79,60,Требует внимания,1
4.8,26.3,50.3,67,48,В зоне риска,0
10.6,24.3,84.8,75,48,В зоне риска,0
12.0,9.0,100.0,69,55,Требует внимания,1
6.4,22.8,88.0,95,81,Успешный студент,2
3.7,26.5,50.3,95,52,Требует внимания,1
5.2,20.3,85.1,64,63,Требует внимания,1
1.9,16.2,68.8,94,58,Требует внимания,1
7.9,12.8,77.9,64,56,Требует внимания,1
7.4,18.8,51.5,84,65,Требует внимания,1
8.4,15.1,58.5,75,59,Требует внимания,1
10.7,13.2,60.3,62,61,Требует внимания,1
8.1,20.7,69.5,59,49,В зоне риска,0
8.3,16.5,60.4,95,68,Требует внимания,1
2.7,24.4,85.9,68,34,В зоне риска,0
5.2,29.8,98.2,62,65,Требует внимания,1
9.1,22.7,80.9,95,72,Требует внимания,1
5.0,10.3,78.1,63,79,Успешный студент,2
3.7,26.0,63.4,40,59,Требует внимания,1
7.5,12.8,69.1,83,58,Требует внимания,1
9.3,5.4,53.6,65,23,В зоне риска,0
5.4,18.3,92.8,40,50,Требует внимания,1
5.0,21.0,58.5,90,20,В зоне риска,0
7.8,20.5,83.9,72,12,В зоне риска,0
2.8,7.8,70.0,75,57,Требует внимания,1
8.0,11.6,74.5,89,47,В зоне риска,0
2.6,25.5,100.0,77,67,Требует внимания,1
3.1,24.4,50.3,74,67,Требует внимания,1
8.6,9.9,65.5,81,58,Требует внимания,1
5.0,20.5,89.2,54,53,Требует внимания,1
3.7,20.1,91.7,59,55,Требует внимания,1
9.9,16.6,98.1,66,13,В зоне риска,0
2.1,23.2,50.3,95,83,Успешный студент,2
6.3,19.1,80.9,57,69,Требует внимания,1
9.6,24.6,50.3,75,70,Требует внимания,1
10.6,19.1,76.7,58,27,В зоне риска,0
1.5,20.3,50.3,79,37,В зоне риска,0
1.5,22.0,53.3,49,13,В зоне риска,0
8.7,22.4,50.3,95,70,Требует внимания,1
4.2,23.2,88.8,65,45,В зоне риска,0
6.9,7.8,69.4,43,80,Успешный студент,2
1.0,18.8,60.2,78,88,Успешный студент,2
3.7,10.8,80.7,68,65,Требует внимания,1
5.8,26.9,63.5,60,47,В зоне риска,0
4.6,24.6,78.8,77,68,Требует внимания,1
7.2,10.3,85.8,73,28,В зоне риска,0
1.8,19.6,93.8,49,60,Требует внимания,1
6.1,5.3,71.0,95,53,Требует внимания,1
8.5,14.4,85.5,95,59,Требует внимания,1
1.0,26.9,57.5,78,46,В зоне риска,0
2.7,12.4,80.5,74,58,Требует внимания,1
8.9,19.8,65.2,87,65,Требует внимания,1
4.2,19.2,62.8,40,56,Требует внимания,1
1.9,12.6,53.9,54,59,Требует внимания,1
9.4,27.1,59.7,67,67,Требует внимания,1
5.5,19.6,51.2,95,50,Требует внимания,1
4.4,20.3,52.2,95,69,Требует внимания,1
7.5,14.6,60.0,95,46,В зоне риска,0
9.5,28.5,58.7,79,73,Требует внимания,1
3.8,18.1,92.0,95,65,Требует внимания,1
5.4,20.2,89.8,85,72,Требует внимания,1
9.4,31.3,67.7,68,64,Требует внимания,1
7.6,33.3,68.1,47,55,Требует внимания,1
1.1,23.9,59.6,85,61,Требует внимания,1
4.7,21.0,87.4,56,67,Требует внимания,1
6.1,21.3,69.1,53,42,В зоне риска,0
11.0,11.8,74.1,46,20,В зоне риска,0
7.3,27.3,55.2,83,45,В зоне риска,0
7.6,15.6,71.4,95,39,В зоне риска,0
2.5,10.0,90.8,62,19,В зоне риска,0
1.9,24.6,80.2,42,60,Требует внимания,1
9.0,8.4,73.3,75,24,В зоне риска,0
8.8,9.4,96.4,95,41,В зоне риска,0
11.3,8.7,60.5,66,62,Требует внимания,1
5.6,6.0,79.2,82,43,В зоне риска,0
6.0,22.7,61.8,95,74,Требует внимания,1
1.1,9.3,56.3,93,38,В зоне риска,0
8.1,27.6,60.9,74,29,В зоне риска,0
4.5,25.7,87.6,89,50,Требует внимания,1
7.8,25.6,56.4,40,64,Требует внимания,1
9.0,15.4,71.1,82,25,В зоне риска,0
5.5,21.4,85.5,88,73,Требует внимания,1
8.2,11.7,63.6,88,60,Требует внимания,1
7.6,13.4,81.7,74,47,В зоне риска,0
10.3,8.5,54.2,73,53,Требует внимания,1
6.8,28.8,81.9,68,52,Требует внимания,1
2.7,20.1,50.3,60,70,Требует внимания,1
6.1,18.7,97.2,72,63,Требует внимания,1
3.8,22.4,92.9,91,38,В зоне риска,0
6.2,12.2,65.0,41,45,В зоне риска,0
1.0,8.0,56.8,88,45,В зоне риска,0
6.3,15.2,59.9,77,31,В зоне риска,0
1.0,9.9,55.2,51,12,В зоне риска,0
4.8,9.5,77.0,68,51,Требует внимания,1
4.9,12.0,86.1,54,63,Требует внимания,1
5.3,17.4,80.7,63,58,Требует внимания,1
6.2,14.9,77.2,95,61,Требует внимания,1
8.1,32.5,60.9,54,47,В зоне риска,0
2.5,5.5,64.0,81,76,Успешный студент,2
8.1,22.3,68.2,73,68,Требует внимания,1
2.6,15.3,63.2,53,50,Требует внимания,1
5.5,9.4,61.4,65,56,Требует внимания,1
9.2,16.8,54.3,52,39,В зоне риска,0
6.5,17.5,95.6,95,13,В зоне риска,0
7.3,26.6,67.7,95,66,Требует внимания,1
5.5,25.3,93.9,84,51,Требует внимания,1
6.8,11.4,80.1,63,42,В зоне риска,0
5.2,22.8,78.0,90,62,Требует внимания,1
6.4,16.4,67.3,80,94,Успешный студент,2
8.0,13.6,69.2,63,71,Требует внимания,1
4.0,20.7,73.2,88,29,В зоне риска,0
1.9,14.5,66.0,52,83,Успешный студент,2
4.3,26.3,63.8,83,56,Требует внимания,1
1.8,26.8,94.5,63,62,Требует внимания,1
10.7,14.4,70.8,75,34,В зоне риска,0
2.0,15.2,65.9,54,70,Требует внимания,1
8.4,13.4,72.7,71,65,Требует внимания,1
7.8,21.6,97.3,82,71,Требует внимания,1
2.8,15.1,50.3,47,70,Требует внимания,1
3.9,4.1,95.0,93,13,В зоне риска,0
4.4,17.8,68.9,46,72,Требует внимания,1
8.0,19.3,64.1,83,69,Требует внимания,1
8.2,24.3,65.5,92,74,Требует внимания,1
1.3,11.2,74.4,49,43,В зоне риска,0
5.1,31.0,81.8,58,16,В зоне риска,0
1.3,26.9,70.5,95,51,Требует внимания,1
7.6,14.1,68.2,86,48,В зоне риска,0
8.1,11.1,59.3,53,61,Требует внимания,1
4.3,23.7,86.6,79,55,Требует внимания,1
6.3,20.4,80.3,87,50,Требует внимания,1
4.0,18.8,76.8,91,50,Требует внимания,1
3.4,29.8,72.3,62,56,Требует внимания,1
3.6,24.2,60.9,78,81,Успешный студент,2
11.1,28.4,100.0,87,62,Требует внимания,1
1.0,12.7,100.0,95,59,Требует внимания,1
3.6,20.8,91.0,95,40,В зоне риска,0
2.5,12.2,82.1,51,29,В зоне риска,0
7.4,19.6,77.3,44,66,Требует внимания,1
3.2,10.2,86.3,95,46,В зоне риска,0
3.5,22.2,60.3,50,64,Требует внимания,1
5.6,23.9,83.0,95,61,Требует внимания,1
10.5,3.8,77.5,95,61,Требует внимания,1
8.1,12.4,52.8,95,51,Требует внимания,1
3.0,21.7,57.4,94,52,Требует внимания,1
2.3,6.4,82.1,93,73,Требует внимания,1
10.0,28.8,59.3,95,72,Требует внимания,1
2.9,26.0,56.3,73,76,Успешный студент,2
8.9,27.1,93.3,69,78,Успешный студент,2
2.6,13.7,87.0,47,52,Требует внимания,1
8.1,24.3,89.5,95,67,Требует внимания,1
8.1,28.6,61.9,68,22,В зоне риска,0
1.4,13.4,60.0,95,65,Требует внимания,1
4.7,22.5,97.1,92,27,В зоне риска,0
4.2,11.3,81.7,89,66,Требует внимания,1
6.2,10.6,61.3,63,62,Требует внимания,1
6.4,24.2,51.8,67,74,Требует внимания,1
1.9,28.8,50.5,84,48,В зоне риска,0
11.4,11.8,100.0,91,83,Успешный студент,2
